# hf-gate-run
# label: typecheck
# command: npx.cmd tsc --noEmit
# started: 2026-07-30T04:03:37+00:00
src/server/execution/file-tools.ts(991,42): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(996,13): error TS7022: 'child' implicitly has type 'any' because it does not have a type annotation and is referenced directly or indirectly in its own initializer.
src/server/execution/file-tools.ts(996,54): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1007,58): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1028,40): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1039,55): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1046,62): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1069,43): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1108,7): error TS2322: Type 'Handle | null' is not assignable to type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1117,63): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
src/server/execution/file-tools.ts(1149,40): error TS2345: Argument of type 'Handle | null' is not assignable to parameter of type 'Handle'.
  'Handle' could be instantiated with an arbitrary type which could be unrelated to 'Handle | null'.
# exit: 2
